; Diagram data of sequence 'DspData' [c:/Temp/]

; Time Settings:
; Start Time = 48234380  SRT
; End Time = 48260890  SRT
; Time Step = 10 SRT


;   RF-Signal Data (297.2 MHz)	              ADC Signal Data	                   X Gradient	                   Y Gradient	                   Z Gradient	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  0.7454570000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0001400000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0001400000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0002800000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0002800000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0006300000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0006300000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0010500000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0010500000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909140000	
                  0.0015410000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0015410000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0021710000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0021710000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0028720000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0028720000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0037130000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0037130000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0046240000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0046240000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0056740000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0056740000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0068650000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0068650000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0081270000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0081270000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0095280000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0095280000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0109990000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0109990000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0126110000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0126110000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0143620000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0143620000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0161840000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0161840000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0181450000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0181450000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0201770000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0201770000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0223490000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
                  0.0223490000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                  1.4909150000	
